datetime,light,twilight,interp,excluded
2024-01-15T00:00:00Z,63.416422752738,0,TRUE,FALSE
2024-01-15T00:04:00Z,63.5119867235422,0,FALSE,FALSE
2024-01-15T00:08:00Z,64,0,FALSE,FALSE
2024-01-15T00:12:00Z,64,0,FALSE,FALSE
2024-01-15T00:16:00Z,63.4605613392591,0,FALSE,FALSE
2024-01-15T00:20:00Z,64,0,FALSE,FALSE
2024-01-15T00:24:00Z,63.122014528513,0,FALSE,FALSE
2024-01-15T00:28:00Z,63.3749796128273,0,FALSE,FALSE
2024-01-15T00:32:00Z,64,0,FALSE,FALSE
2024-01-15T00:36:00Z,62.9493072074652,0,FALSE,FALSE
2024-01-15T00:40:00Z,64,0,FALSE,FALSE
2024-01-15T00:44:00Z,63.1696447205544,0,FALSE,FALSE
2024-01-15T00:48:00Z,64,0,FALSE,FALSE
2024-01-15T00:52:00Z,63.0171255505085,0,FALSE,FALSE
2024-01-15T00:56:00Z,63.2343803864717,0,FALSE,FALSE
2024-01-15T01:00:00Z,63.960118008852,0,FALSE,FALSE
2024-01-15T01:04:00Z,63.3036410939693,0,FALSE,FALSE
2024-01-15T01:08:00Z,62.8457059246302,0,FALSE,FALSE
2024-01-15T01:12:00Z,62.7483665055037,0,FALSE,FALSE
2024-01-15T01:16:00Z,64,0,FALSE,FALSE
2024-01-15T01:20:00Z,63.5888081794977,0,FALSE,FALSE
2024-01-15T01:24:00Z,64,0,FALSE,FALSE
2024-01-15T01:28:00Z,64,0,FALSE,FALSE
2024-01-15T01:32:00Z,64,0,FALSE,FALSE
2024-01-15T01:36:00Z,63.6826800376177,0,FALSE,FALSE
2024-01-15T01:40:00Z,63.3940633749962,0,FALSE,FALSE
2024-01-15T01:44:00Z,64,0,FALSE,FALSE
2024-01-15T01:48:00Z,64,0,FALSE,FALSE
2024-01-15T01:52:00Z,64,0,FALSE,FALSE
2024-01-15T01:56:00Z,64,0,FALSE,FALSE
2024-01-15T02:00:00Z,64,0,FALSE,FALSE
2024-01-15T02:04:00Z,62.8615491622686,0,FALSE,FALSE
2024-01-15T02:08:00Z,62.7358494752646,0,FALSE,FALSE
2024-01-15T02:12:00Z,64,0,FALSE,FALSE
2024-01-15T02:16:00Z,63.7724954539537,0,FALSE,FALSE
2024-01-15T02:20:00Z,62.7967599649376,0,FALSE,FALSE
2024-01-15T02:24:00Z,63.7591137963533,0,FALSE,FALSE
2024-01-15T02:28:00Z,63.9689157076042,0,FALSE,FALSE
