datetime,light,twilight,interp,excluded
2024-08-15T00:00:00Z,62.7944243150949,0,TRUE,FALSE
2024-08-15T00:04:00Z,62.8307556849718,0,FALSE,FALSE
2024-08-15T00:08:00Z,63.4107714557648,0,FALSE,FALSE
2024-08-15T00:12:00Z,62.733227591078,0,FALSE,FALSE
2024-08-15T00:16:00Z,64,0,FALSE,FALSE
2024-08-15T00:20:00Z,64,0,FALSE,FALSE
2024-08-15T00:24:00Z,64,0,FALSE,FALSE
2024-08-15T00:28:00Z,64,0,FALSE,FALSE
2024-08-15T00:32:00Z,63.2512179142237,0,FALSE,FALSE
2024-08-15T00:36:00Z,64,0,FALSE,FALSE
2024-08-15T00:40:00Z,64,0,FALSE,FALSE
2024-08-15T00:44:00Z,64,0,FALSE,FALSE
2024-08-15T00:48:00Z,64,0,FALSE,FALSE
2024-08-15T00:52:00Z,64,0,FALSE,FALSE
2024-08-15T00:56:00Z,64,0,FALSE,FALSE
2024-08-15T01:00:00Z,63.5836949270964,0,FALSE,FALSE
2024-08-15T01:04:00Z,64,0,FALSE,FALSE
2024-08-15T01:08:00Z,63.3753643119335,0,FALSE,FALSE
2024-08-15T01:12:00Z,64,0,FALSE,FALSE
2024-08-15T01:16:00Z,63.9133481061459,0,FALSE,FALSE
2024-08-15T01:20:00Z,62.7244868177175,0,FALSE,FALSE
2024-08-15T01:24:00Z,64,0,FALSE,FALSE
2024-08-15T01:28:00Z,63.8364456439018,0,FALSE,FALSE
2024-08-15T01:32:00Z,63.1263707470894,0,FALSE,FALSE
2024-08-15T01:36:00Z,63.8428377658129,0,FALSE,FALSE
2024-08-15T01:40:00Z,64,0,FALSE,FALSE
2024-08-15T01:44:00Z,63.5069640415907,0,FALSE,FALSE
2024-08-15T01:48:00Z,64,0,FALSE,FALSE
2024-08-15T01:52:00Z,63.5634411180019,0,FALSE,FALSE
2024-08-15T01:56:00Z,63.368813200593,0,FALSE,FALSE
2024-08-15T02:00:00Z,63.6547000479698,0,FALSE,FALSE
2024-08-15T02:04:00Z,64,0,FALSE,FALSE
2024-08-15T02:08:00Z,64,0,FALSE,FALSE
2024-08-15T02:12:00Z,63.7042215782404,0,FALSE,FALSE
2024-08-15T02:16:00Z,63.4473009443283,0,FALSE,FALSE
2024-08-15T02:20:00Z,64,0,FALSE,FALSE
2024-08-15T02:24:00Z,63.883965087533,0,FALSE,FALSE
2024-08-15T02:28:00Z,64,0,FALSE,FALSE
2024-08-15T02:32:00Z,64,0,FALSE,FALSE
2024-08-15T02:36:00Z,64,0,FALSE,FALSE
2024-08-15T02:40:00Z,64,0,FALSE,FALSE
